31397.822 3184.0135  2  3 -0.11585  0.011748 0.04167
31397.822 3184.0135  2  2 -0.05990  0.006075 0.06250
31397.822 3184.0135  1  2 -0.10010  0.010152 0.06250
31384.176 3185.3980  9  8 -0.06742  0.006843 0.19792
31384.176 3185.3980  8  8 -0.09172  0.009309 0.01409
31384.176 3185.3980  8  7 -0.03101  0.003147 0.16300
31384.176 3185.3980  7  8 -0.11332  0.011502 0.00050
31384.176 3185.3980  7  7 -0.05261  0.005340 0.02329
31384.176 3185.3980  7  6  0.00046 -0.000047 0.13247
31384.176 3185.3980  6  7 -0.07151  0.007258 0.00122
31384.176 3185.3980  6  6 -0.01844  0.001872 0.02814
31384.176 3185.3980  6  5  0.02701 -0.002741 0.10606
31384.176 3185.3980  5  6 -0.03464  0.003516 0.00189
31384.176 3185.3980  5  5  0.01081 -0.001097 0.02917
31384.176 3185.3980  5  4  0.04865 -0.004938 0.08352
31384.176 3185.3980  4  5 -0.00269  0.000274 0.00227
31384.176 3185.3980  4  4  0.03515 -0.003568 0.02685
31384.176 3185.3980  4  3  0.06540 -0.006638 0.06463
31384.176 3185.3980  3  4  0.02435 -0.002471 0.00213
31384.176 3185.3980  3  3  0.05460 -0.005542 0.02154
31384.176 3185.3980  3  2  0.07728 -0.007844 0.04924
31384.176 3185.3980  2  3  0.04650 -0.004720 0.00133
31384.176 3185.3980  2  2  0.06918 -0.007022 0.01326
31384.176 3185.3980  2  1  0.08430 -0.008556 0.03750
29399.937 3400.3920  7  7  0.12425 -0.014371 0.20833
29399.937 3400.3920  7  6  0.08685 -0.010045 0.02604
29399.937 3400.3920  6  7  0.09065 -0.010485 0.02604
29399.937 3400.3920  6  6  0.05325 -0.006159 0.13542
29399.937 3400.3920  6  5  0.02119 -0.002451 0.04167
29399.937 3400.3920  5  6  0.02445 -0.002828 0.04167
29399.937 3400.3920  5  5 -0.00761  0.000880 0.08185
29399.937 3400.3920  5  4 -0.03432  0.003970 0.04836
29399.937 3400.3920  4  5 -0.03161  0.003656 0.04836
29399.937 3400.3920  4  4 -0.05832  0.006746 0.04464
29399.937 3400.3920  4  3 -0.07969  0.009217 0.04762
29399.937 3400.3920  3  4 -0.07752  0.008966 0.04762
29399.937 3400.3920  3  3 -0.09889  0.011438 0.02083
29399.937 3400.3920  3  2 -0.11492  0.013292 0.04092
29399.937 3400.3920  2  3 -0.11329  0.013104 0.04092
29399.937 3400.3920  2  2 -0.12932  0.014958 0.00744
29399.937 3400.3920  2  1 -0.14001  0.016194 0.02976
29399.937 3400.3920  1  2 -0.13892  0.016068 0.02976
29399.937 3400.3920  1  1 -0.14961  0.017304 0.00149
29399.937 3400.3920  1  0 -0.15495  0.017922 0.01563
29399.937 3400.3920  0  1 -0.15441  0.017859 0.01563
28291.058 3533.6758  7  6  0.02587 -0.003231 0.23437
28291.058 3533.6758  6  6 -0.00773  0.000966 0.03385
28291.058 3533.6758  6  5  0.01485 -0.001855 0.16927
28291.058 3533.6758  5  6 -0.03653  0.004563 0.00260
