2384.3957 43258.726 od 4  1332.164 ev 3 2384.3962 2384.3950
2386.5889 42767.853 od 3   879.816 ev 2 2386.5881 2386.5901
2387.5514 45281.089 od 3  3409.937 ev 2 2387.5506 2387.5526
2392.9627 42656.289 od 1   879.816 ev 2 2392.9620 2392.9639
2393.1133 42653.661 od 2   879.816 ev 2 2393.1126 2393.1145
2394.9863 42620.994 od 3   879.816 ev 2 2394.9856 2394.9875
2396.3826 43933.408 od 2  2216.550 ev 2 2396.3831 2396.3820
2396.6361 45122.383 od 1  3409.937 ev 2 2396.6353 2396.6375
2401.8423 42954.203 od 2  1332.164 ev 3 2401.8427 2401.8415
2412.6450 42767.853 od 3  1332.164 ev 3 2412.6455 2412.6441
2419.3128 42653.661 od 2  1332.164 ev 3 2419.3134 2419.3119
2421.2271 42620.994 od 3  1332.164 ev 3 2421.2277 2421.2262
2423.3274 42585.212 od 4  1332.164 ev 3 2423.3280 2423.3264
2424.0285 42954.203 od 2  1713.087 ev 1 2424.0276 2424.0300
2429.0953 44565.037 od 3  3409.937 ev 2 2429.0944 2429.0967
2434.4157 44475.099 od 2  3409.937 ev 2 2434.4148 2434.4170
2441.6678 42656.289 od 1  1713.087 ev 1 2441.6670 2441.6690
2441.8245 42653.661 od 2  1713.087 ev 1 2441.8237 2441.8258
2453.9885 42954.203 od 2  2216.550 ev 2 2453.9890 2453.9879
2465.2664 42767.853 od 3  2216.550 ev 2 2465.2670 2465.2656
2466.9597 43933.408 od 2  3409.937 ev 2 2466.9588 2466.9613
2472.0680 42656.289 od 1  2216.550 ev 2 2472.0686 2472.0672
2472.2287 42653.661 od 2  2216.550 ev 2 2472.2293 2472.2279
2476.8758 40361.249 od 3     0.000 ev 4 2476.8762 2476.8751
2484.0329 43654.903 od 3  3409.937 ev 2 2484.0321 2484.0343
2489.5081 40361.249 od 3   204.787 ev 3 2489.5071 2489.5096
2528.0515 42954.203 od 2  3409.937 ev 2 2528.0505 2528.0531
2532.0750 40361.249 od 3   879.816 ev 2 2532.0741 2532.0766
2540.0220 42767.853 od 3  3409.937 ev 2 2540.0210 2540.0235
2547.4135 42653.661 od 2  3409.937 ev 2 2547.4125 2547.4149
2549.5359 42620.994 od 3  3409.937 ev 2 2549.5349 2549.5373
2561.4238 40361.249 od 3  1332.164 ev 3 2561.4243 2561.4230
2705.4615 40361.249 od 3  3409.937 ev 2 2705.4603 2705.4634
2746.7421 36600.791 od 2   204.787 ev 3 2746.7412 2746.7434
2798.6507 36600.791 od 2   879.816 ev 2 2798.6499 2798.6521
2805.0788 35639.122 od 3     0.000 ev 4 2805.0797 2805.0773
2821.2911 35639.122 od 3   204.787 ev 3 2821.2902 2821.2925
2834.5474 36600.791 od 2  1332.164 ev 3 2834.5484 2834.5459
2865.4981 36600.791 od 2  1713.087 ev 1 2865.4971 2865.4995
2907.4574 36600.791 od 2  2216.550 ev 2 2907.4583 2907.4559
2914.0073 35639.122 od 3  1332.164 ev 3 2914.0083 2914.0057
2943.9121 34163.264 od 2   204.787 ev 3 2943.9112 2943.9135
2973.7297 47139.337 od 2 13521.347 ev 2 2973.7307 2973.7282
2981.6459 34408.555 od 1   879.816 ev 2 2981.6452 2981.6470
2983.4242 47030.102 od 3 13521.347 ev 2 2983.4251 2983.4227
2984.1307 33500.822 od 3     0.000 ev 4 2984.1318 2984.1291
2991.1175 35639.122 od 3  2216.550 ev 2 2991.1185 2991.1160
2992.5922 33610.890 od 2   204.787 ev 3 2992.5915 2992.5933
2994.4532 33590.130 od 4   204.787 ev 3 2994.4521 2994.4549
3002.4854 33500.822 od 3   204.787 ev 3 3002.4844 3002.4869
3003.6209 34163.264 od 2   879.816 ev 2 3003.6200 3003.6223
3012.0006 36600.791 od 2  3409.937 ev 2 3011.9995 3012.0023
3019.1433 33112.334 od 3     0.000 ev 4 3019.1447 3019.1411
3031.8672 32973.376 od 4     0.000 ev 4 3031.8684 3031.8653
3037.9325 33112.334 od 3   204.787 ev 3 3037.9318 3037.9336
3045.0066 34163.264 od 2  1332.164 ev 3 3045.0078 3045.0047
3050.8156 32973.376 od 4   204.787 ev 3 3050.8147 3050.8170
3054.3125 33610.890 od 2   879.816 ev 2 3054.3118 3054.3136
3057.6388 34408.555 od 1  1713.087 ev 1 3057.6381 3057.6400
3064.6186 33500.822 od 3   879.816 ev 2 3064.6176 3064.6202
3080.7525 34163.264 od 2  1713.087 ev 1 3080.7515 3080.7540
3097.1168 33610.890 od 2  1332.164 ev 3 3097.1183 3097.1144
3099.1100 33590.130 od 4  1332.164 ev 3 3099.1111 3099.1084
3101.5569 33112.334 od 3   879.816 ev 2 3101.5562 3101.5580
3101.8777 35639.122 od 3  3409.937 ev 2 3101.8765 3101.8795
3105.4603 34408.555 od 1  2216.550 ev 2 3105.4617 3105.4582
3107.7143 33500.822 od 3  1332.164 ev 3 3107.7155 3107.7124
3114.1244 32982.260 od 1   879.816 ev 2 3114.1252 3114.1232
3129.3054 34163.264 od 2  2216.550 ev 2 3129.3065 3129.3036
3134.1039 33610.890 od 2  1713.087 ev 1 3134.1031 3134.1052
3145.1121 31786.162 od 3     0.000 ev 4 3145.1130 3145.1107
3145.7051 33112.334 od 3  1332.164 ev 3 3145.7067 3145.7027
3159.5206 32973.376 od 4  1332.164 ev 3 3159.5219 3159.5184
3165.5071 31786.162 od 3   204.787 ev 3 3165.5057 3165.5093
3170.7162 47139.337 od 2 15609.844 ev 2 3170.7173 3170.7144
3181.7398 47030.102 od 3 15609.844 ev 2 3181.7409 3181.7382
3183.2517 47139.337 od 2 15734.001 ev 1 3183.2528 3183.2499
3184.3666 33610.890 od 2  2216.550 ev 2 3184.3681 3184.3644
3195.5707 33500.822 od 3  2216.550 ev 2 3195.5718 3195.5689
3197.1138 32982.260 od 1  1713.087 ev 1 3197.1145 3197.1126
3200.4224 31441.635 od 2   204.787 ev 3 3200.4228 3200.4217
3221.6515 31031.020 od 3     0.000 ev 4 3221.6543 3221.6471
3225.0191 34408.555 od 1  3409.937 ev 2 3225.0182 3225.0205
3226.9834 30979.749 od 4     0.000 ev 4 3226.9844 3226.9820
3232.9335 30922.734 od 5     0.000 ev 4 3232.9345 3232.9321
3234.6478 31786.162 od 3   879.816 ev 2 3234.6464 3234.6501
3243.0545 31031.020 od 3   204.787 ev 3 3243.0550 3243.0538
3248.4576 30979.749 od 4   204.787 ev 3 3248.4562 3248.4599
3249.4346 32982.260 od 1  2216.550 ev 2 3249.4377 3249.4296
3250.7430 34163.264 od 2  3409.937 ev 2 3250.7418 3250.7449
3271.1137 31441.635 od 2   879.816 ev 2 3271.1141 3271.1130
3282.6953 31786.162 od 3  1332.164 ev 3 3282.6963 3282.6937
3286.9448 30619.414 od 2   204.787 ev 3 3286.9451 3286.9445
3310.2010 33610.890 od 2  3409.937 ev 2 3310.2000 3310.2025
3315.6629 31031.020 od 3   879.816 ev 2 3315.6634 3315.6622
3320.2587 31441.635 od 2  1332.164 ev 3 3320.2618 3320.2540
3322.3096 33500.822 od 3  3409.937 ev 2 3322.3083 3322.3117
3328.7131 30912.817 od 1   879.816 ev 2 3328.7130 3328.7131
3337.0094 30163.124 od 2   204.787 ev 3 3337.0079 3337.0116
3351.0544 29832.779 od 3     0.000 ev 4 3351.0557 3351.0524
3361.5543 30619.414 od 2   879.816 ev 2 3361.5546 3361.5539
3362.8039 31441.635 od 2  1713.087 ev 1 3362.8043 3362.8032
3365.7647 33112.334 od 3  3409.937 ev 2 3365.7637 3365.7662
3366.1660 31031.020 od 3  1332.164 ev 3 3366.1691 3366.1611
3367.8859 29888.477 od 2   204.787 ev 3 3367.8860 3367.8857
3369.5656 29668.893 od 3     0.000 ev 4 3369.5682 3369.5616
3371.9875 30979.749 od 4  1332.164 ev 3 3371.9885 3371.9858
3374.2174 29832.779 od 3   204.787 ev 3 3374.2161 3374.2194
3380.5695 32982.260 od 1  3409.937 ev 2 3380.5702 3380.5683
3380.8794 31786.162 od 3  2216.550 ev 2 3380.8804 3380.8779
3391.0430 29480.989 od 4     0.000 ev 4 3391.0453 3391.0395
3392.9862 29668.893 od 3   204.787 ev 3 3392.9862 3392.9862
3409.5744 29320.762 od 3     0.000 ev 4 3409.5773 3409.5699
3413.4759 30619.414 od 2  1332.164 ev 3 3413.4789 3413.4713
3413.9355 30163.124 od 2   879.816 ev 2 3413.9340 3413.9377
3414.7641 29480.989 od 4   204.787 ev 3 3414.7638 3414.7647
3420.7370 31441.635 od 2  2216.550 ev 2 3420.7401 3420.7322
3423.7074 30912.817 od 1  1713.087 ev 1 3423.7073 3423.7076
3433.5564 29320.762 od 3   204.787 ev 3 3433.5566 3433.5560
3437.2774 29084.456 od 4     0.000 ev 4 3437.2793 3437.2746
3446.2588 29888.477 od 2   879.816 ev 2 3446.2589 3446.2585
3452.8887 29832.779 od 3   879.816 ev 2 3452.8873 3452.8908
3458.4596 30619.414 od 2  1713.087 ev 1 3458.4598 3458.4592
3461.6521 29084.456 od 4   204.787 ev 3 3461.6512 3461.6534
3467.5006 30163.124 od 2  1332.164 ev 3 3467.5019 3467.4986
3469.4850 31031.020 od 3  2216.550 ev 2 3469.4882 3469.4801
3472.5453 29668.893 od 3   879.816 ev 2 3472.5454 3472.5453
3483.7766 30912.817 od 1  2216.550 ev 2 3483.7793 3483.7725
3492.9558 29500.674 od 1   879.816 ev 2 3492.9566 3492.9546
3500.8511 29888.477 od 2  1332.164 ev 3 3500.8541 3500.8464
3507.6929 29832.779 od 3  1332.164 ev 3 3507.6944 3507.6906
3510.3350 30192.251 od 0  1713.087 ev 1 3510.3358 3510.3338
3513.9290 30163.124 od 2  1713.087 ev 1 3513.9274 3513.9315
3515.0522 29320.762 od 3   879.816 ev 2 3515.0525 3515.0518
3519.7653 30619.414 od 2  2216.550 ev 2 3519.7683 3519.7606
3523.0697 31786.162 od 3  3409.937 ev 2 3523.0678 3523.0726
3524.5365 28569.203 od 2   204.787 ev 3 3524.5372 3524.5353
3527.9803 29668.893 od 3  1332.164 ev 3 3527.9832 3527.9757
3548.1829 29888.477 od 2  1713.087 ev 1 3548.1830 3548.1828
3551.5316 29480.989 od 4  1332.164 ev 3 3551.5341 3551.5276
3566.3716 31441.635 od 2  3409.937 ev 2 3566.3720 3566.3710
3571.8637 29320.762 od 3  1332.164 ev 3 3571.8669 3571.8586
3577.2349 30163.124 od 2  2216.550 ev 2 3577.2361 3577.2330
3597.7027 29500.674 od 1  1713.087 ev 1 3597.7034 3597.7015
3602.2783 29084.456 od 4  1332.164 ev 3 3602.2804 3602.2751
3610.4622 28569.203 od 2   879.816 ev 2 3610.4630 3610.4610
3612.7404 29888.477 od 2  2216.550 ev 2 3612.7434 3612.7356
3619.3908 31031.020 od 3  3409.937 ev 2 3619.3912 3619.3901
3620.0269 29832.779 od 3  2216.550 ev 2 3620.0284 3620.0247
3634.9467 30912.817 od 1  3409.937 ev 2 3634.9465 3634.9471
3641.6385 29668.893 od 3  2216.550 ev 2 3641.6414 3641.6339
3664.0914 29500.674 od 1  2216.550 ev 2 3664.0952 3664.0855
3670.4258 28569.203 od 2  1332.164 ev 3 3670.4297 3670.4196
3674.1438 30619.414 od 2  3409.937 ev 2 3674.1440 3674.1436
3688.4135 29320.762 od 3  2216.550 ev 2 3688.4168 3688.4084
3722.4879 28569.203 od 2  1713.087 ev 1 3722.4886 3722.4867
3736.8100 30163.124 od 2  3409.937 ev 2 3736.8080 3736.8130
3775.5708 29888.477 od 2  3409.937 ev 2 3775.5707 3775.5708
3783.5297 29832.779 od 3  3409.937 ev 2 3783.5279 3783.5324
3793.6071 28569.203 od 2  2216.550 ev 2 3793.6112 3793.6008
3807.1438 29668.893 od 3  3409.937 ev 2 3807.1437 3807.1440
3831.6908 29500.674 od 1  3409.937 ev 2 3831.6916 3831.6896
3858.2968 29320.762 od 3  3409.937 ev 2 3858.2969 3858.2966
3973.5547 28569.203 od 2  3409.937 ev 2 3973.5555 3973.5535
4331.6421 36600.791 od 2 13521.347 ev 2 4331.6445 4331.6383
4441.4436 49174.770 ev 4 26665.887 od 3 4441.4494 4441.4345
4519.9829 35639.122 od 3 13521.347 ev 2 4519.9854 4519.9788
4629.5382 49174.770 ev 4 27580.391 od 5 4629.5444 4629.5284
4736.5061 49174.770 ev 4 28068.065 od 4 4736.5127 4736.4958
4740.1646 49158.480 ev 5 28068.065 od 4 4740.1708 4740.1548
4762.6267 36600.791 od 2 15609.844 ev 2 4762.6296 4762.6222
4786.2812 34408.555 od 1 13521.347 ev 2 4786.2849 4786.2755
4790.9647 36600.791 od 2 15734.001 ev 1 4790.9676 4790.9601
4843.1582 34163.264 od 2 13521.347 ev 2 4843.1613 4843.1532
4845.3299 49174.770 ev 4 28542.105 od 5 4845.3367 4845.3193
4853.7785 49174.770 ev 4 28578.018 od 3 4853.7853 4853.7678
4976.1346 49174.770 ev 4 29084.456 od 4 4976.1398 4976.1264
4976.3255 33610.890 od 2 13521.347 ev 2 4976.3295 4976.3193
4980.1727 49158.480 ev 5 29084.456 od 4 4980.1776 4980.1652
5003.7407 33500.822 od 3 13521.347 ev 2 5003.7440 5003.7357
5035.3622 49174.770 ev 4 29320.762 od 3 5035.3652 5035.3574
5076.3300 49174.770 ev 4 29480.989 od 4 5076.3344 5076.3232
5079.9584 34408.555 od 1 14728.840 ev 0 5079.9527 5079.9672
5080.5325 49158.480 ev 5 29480.989 od 4 5080.5365 5080.5264
5102.9659 33112.334 od 3 13521.347 ev 2 5102.9702 5102.9592
5125.2319 49174.770 ev 4 29668.893 od 3 5125.2356 5125.2263
5137.0738 32982.260 od 1 13521.347 ev 2 5137.0821 5137.0608
5168.6589 49174.770 ev 4 29832.779 od 3 5168.6657 5168.6484
5353.3914 34408.555 od 1 15734.001 ev 1 5353.3960 5353.3842
5388.3437 34163.264 od 2 15609.844 ev 2 5388.3476 5388.3376
5424.6451 34163.264 od 2 15734.001 ev 1 5424.6491 5424.6388
5435.8577 34408.555 od 1 16017.306 ev 0 5435.8623 5435.8506
5476.9036 32982.260 od 1 14728.840 ev 0 5476.9017 5476.9066
5482.2118 49158.480 ev 5 30922.734 od 5 5482.2196 5482.1996
5494.4825 49174.770 ev 4 30979.749 od 4 5494.4909 5494.4694
5499.4062 49158.480 ev 5 30979.749 od 4 5499.4141 5499.3938
5510.0091 49174.770 ev 4 31031.020 od 3 5510.0121 5510.0045
5553.6904 33610.890 od 2 15609.844 ev 2 5553.6953 5553.6827
5578.7184 31441.635 od 2 13521.347 ev 2 5578.7271 5578.7048
5587.8579 33500.822 od 3 15609.844 ev 2 5587.8619 5587.8516
5592.2618 33610.890 od 2 15734.001 ev 1 5592.2668 5592.2539
5709.5449 31031.020 od 3 13521.347 ev 2 5709.5540 5709.5306
5711.8881 33112.334 od 3 15609.844 ev 2 5711.8934 5711.8798
5748.3508 30912.817 od 1 13521.347 ev 2 5748.3585 5748.3388
5749.2970 49174.770 ev 4 31786.162 od 3 5749.3061 5749.2826
5754.6557 32982.260 od 1 15609.844 ev 2 5754.6660 5754.6394
5846.9935 30619.414 od 2 13521.347 ev 2 5847.0024 5846.9796
5892.8715 32982.260 od 1 16017.306 ev 0 5892.8823 5892.8548
6007.3099 30163.124 od 2 13521.347 ev 2 6007.3139 6007.3037
6108.1159 29888.477 od 2 13521.347 ev 2 6108.1252 6108.1014
6128.9732 29832.779 od 3 13521.347 ev 2 6128.9779 6128.9658
6176.8115 49158.480 ev 5 32973.376 od 4 6176.8198 6176.7984
6177.2416 30912.817 od 1 14728.840 ev 0 6177.2361 6177.2503
6191.1784 29668.893 od 3 13521.347 ev 2 6191.1876 6191.1641
6223.9839 49174.770 ev 4 33112.334 od 3 6223.9921 6223.9710
6256.3553 29500.674 od 1 13521.347 ev 2 6256.3671 6256.3369
6327.5986 29320.762 od 3 13521.347 ev 2 6327.6089 6327.5825
6378.2502 49174.770 ev 4 33500.822 od 3 6378.2603 6378.2344
6421.5134 49158.480 ev 5 33590.130 od 4 6421.5234 6421.4976
6532.8731 30912.817 od 1 15609.844 ev 2 6532.8830 6532.8576
6586.3099 30912.817 od 1 15734.001 ev 1 6586.3201 6586.2941
6643.6304 28569.203 od 2 13521.347 ev 2 6643.6435 6643.6098
6767.7721 29500.674 od 1 14728.840 ev 0 6767.7685 6767.7777
7001.5406 29888.477 od 2 15609.844 ev 2 7001.5527 7001.5217
7028.9593 29832.779 od 3 15609.844 ev 2 7028.9654 7028.9497
7062.9555 29888.477 od 2 15734.001 ev 1 7062.9679 7062.9361
7110.8962 29668.893 od 3 15609.844 ev 2 7110.9083 7110.8774
7197.0103 29500.674 od 1 15609.844 ev 2 7197.0258 7196.9860
7261.9181 29500.674 od 1 15734.001 ev 1 7261.9340 7261.8933
7291.4486 29320.762 od 3 15609.844 ev 2 7291.4622 7291.4273
7385.2376 35639.122 od 3 22102.325 ev 4 7385.2438 7385.2278
7414.5024 29500.674 od 1 16017.306 ev 0 7414.5186 7414.4770
7714.3079 28569.203 od 2 15609.844 ev 2 7714.3255 7714.2804
7788.9301 28569.203 od 2 15734.001 ev 1 7788.9481 7788.9019
