wavelength,intensity
262.45126,2.8926352e+11
262.5022,4.7721238e+11
262.55313,7.936201e+11
262.60406,1.2097233e+12
262.655,1.5732833e+12
262.7059,1.3936034e+12
262.7568,7.546356e+11
262.80774,5.943624e+11
262.85864,8.661857e+11
262.90955,1.1678054e+12
262.96042,1.2641344e+12
263.01132,1.042163e+12
263.0622,1.1734434e+12
263.1131,1.8143233e+12
263.16397,2.5736842e+12
263.21484,3.1516165e+12
263.2657,2.6571167e+12
263.31656,1.1918005e+12
263.36743,3.8433463e+11
263.41827,1.8658619e+11
263.46912,1.4426582e+11
263.51996,1.0291246e+11
263.5708,7.795555e+10
263.6216,7.1705936e+10
263.67245,7.271692e+10
263.72327,7.500604e+10
263.77408,7.857835e+10
263.8249,8.432852e+10
263.8757,8.916188e+10
263.9265,8.862496e+10
263.9773,8.276326e+10
264.0281,7.606251e+10
264.0789,7.284299e+10
264.12967,7.480713e+10
264.18045,8.073518e+10
264.23123,8.6495035e+10
264.28198,8.988576e+10
264.33276,8.3979444e+10
264.3835,8.212984e+10
264.43427,8.859931e+10
264.48502,1.024856e+11
264.53574,1.1874013e+11
264.5865,1.2589148e+11
264.63724,1.3137299e+11
264.68796,1.3333416e+11
264.73868,1.2857705e+11
264.7894,1.0518969e+11
264.84012,7.4609435e+10
264.8908,4.5454463e+10
264.94153,3.582915e+10
264.99222,3.797188e+10
265.0429,4.5872718e+10
265.0936,5.1569766e+10
265.1443,5.295323e+10
265.19498,5.2130263e+10
265.24564,5.102636e+10
265.2963,4.8946627e+10
265.347,4.331204e+10
265.39764,3.2840438e+10
265.44827,2.0434237e+10
265.49893,1.1490226e+10
265.5496,8.795092e+09
265.60022,1.0978148e+10
265.65085,1.501829e+10
265.70148,1.841681e+10
265.7521,2.0324108e+10
265.80273,2.1429811e+10
265.85336,2.2967159e+10
265.90396,2.5825602e+10
265.95456,3.0237086e+10
266.00516,3.7293265e+10
266.05576,4.889288e+10
266.10635,6.2963667e+10
266.15695,7.533382e+10
266.20752,7.250017e+10
266.2581,6.825728e+10
266.30865,8.099812e+10
266.35922,1.1261482e+11
266.4098,1.6666226e+11
266.46036,2.966957e+11
266.5109,4.2966398e+11
266.56146,5.758149e+11
266.612,5.118111e+11
266.66254,3.821962e+11
266.71307,4.287947e+11
266.76358,4.9366175e+11
266.81412,3.897645e+11
266.86462,1.9063774e+11
266.91513,6.865616e+10
266.96567,6.598675e+10
267.01614,4.4967723e+10
267.06665,3.4956136e+10
267.11716,2.7998953e+10
267.16763,2.2245001e+10
267.2181,2.0114029e+10
267.2686,2.1785057e+10
267.31906,2.374935e+10
267.36954,2.1886206e+10
267.42,1.5335965e+10
267.47046,7.162189e+09
267.5209,8.818168e+08
267.57138,-2.703129e+09
267.62183,-4.53637e+09
267.67224,-4.8123116e+09
267.7227,-2.964788e+09
267.7731,1.79601e+09
267.82355,1.0845516e+10
267.87396,2.4730655e+10
267.92438,4.1551573e+10
267.9748,5.6741278e+10
268.02518,6.744028e+10
268.0756,6.5253913e+10
268.12598,6.190602e+10
268.1764,5.8323268e+10
268.22678,5.5362847e+10
268.27713,5.323728e+10
268.3275,6.2955663e+10
268.3779,8.394571e+10
268.42825,1.1919594e+11
268.4786,1.7337722e+11
268.52896,2.2604925e+11
268.5793,3.2060198e+11
268.62967,2.0607553e+11
268.68002,9.924549e+10
268.73035,4.514479e+10
268.7807,2.7614304e+10
268.83102,2.0632371e+10
268.88135,2.8711913e+10
268.93164,4.3091694e+10
268.98196,5.6329003e+10
269.0323,6.666422e+10
269.08258,6.182052e+10
269.13287,6.650157e+10
269.18317,8.387375e+10
269.23346,1.3903816e+11
269.28375,2.1145882e+11
269.334,3.3570596e+11
269.38428,3.449546e+11
269.43457,1.9814515e+11
269.48483,6.47135e+10
269.5351,5.440686e+10
269.58533,4.1725325e+10
269.6356,3.9305085e+10
269.68582,4.690624e+10
269.73608,5.771482e+10
269.78632,6.810848e+10
269.83655,7.741713e+10
269.88675,7.5670495e+10
269.93698,6.875643e+10
269.9872,5.649365e+10
270.0374,4.2435715e+10
270.08762,3.1137102e+10
270.13782,2.7751473e+10
270.18802,3.4454008e+10
270.2382,4.9113625e+10
270.2884,7.0613885e+10
270.33856,9.633347e+10
270.38873,1.4815073e+11
270.4389,2.011531e+11
270.48907,2.991997e+11
270.53925,2.3304552e+11
270.58942,1.5151795e+11
270.63956,7.531093e+10
270.6897,1.3468165e+11
270.73984,1.5653095e+11
270.78998,1.570916e+11
270.84012,1.2010742e+11
270.89023,8.230793e+10
270.94037,8.1665294e+10
270.99048,7.455658e+10
271.0406,6.996184e+10
271.0907,7.1718355e+10
271.1408,7.802082e+10
271.19092,1.2542989e+11
271.241,1.8603187e+11
271.29108,2.5240625e+11
271.3412,2.2935495e+11
271.39127,1.6046249e+11
271.4413,2.8587698e+11
271.4914,4.7131604e+11
271.54147,6.863381e+11
271.59152,5.0560306e+11
271.64157,2.629115e+11
271.69162,2.6395889e+11
271.74167,2.2397377e+11
271.79172,1.8836775e+11
271.84174,1.3370538e+11
271.89178,2.5262511e+11
271.9418,4.184094e+11
271.99182,6.055796e+11
