28583.46 3497.526 3.5 2.5 -0.00733  0.000897 0.17143
28583.46 3497.526 2.5 3.5  0.03718 -0.004549 0.01587
28583.46 3497.526 2.5 2.5  0.02843 -0.003479 0.12190
28583.46 3497.526 2.5 1.5  0.02617 -0.003202 0.06222
28583.46 3497.526 1.5 2.5  0.05289 -0.006472 0.04000
28583.46 3497.526 1.5 1.5  0.05063 -0.006195 0.09333
28583.46 3497.526 0.5 1.5  0.06486 -0.007937 0.06667
28305.87 3531.827 6.0 5.0  0.03452 -0.004308 0.27083
28305.87 3531.827 5.0 5.0 -0.07108  0.008869 0.03274
28305.87 3531.827 5.0 4.0  0.02486 -0.003103 0.19643
28305.87 3531.827 4.0 5.0 -0.15907  0.019849 0.00198
28305.87 3531.827 4.0 4.0 -0.06313  0.007878 0.04911
28305.87 3531.827 4.0 3.0  0.01313 -0.001638 0.13641
28305.87 3531.827 3.0 4.0 -0.13353  0.016662 0.00446
28305.87 3531.827 3.0 3.0 -0.05727  0.007146 0.05208
28305.87 3531.827 3.0 2.0 -0.00035  0.000044 0.08929
28305.87 3531.827 2.0 3.0 -0.11007  0.013734 0.00595
28305.87 3531.827 2.0 2.0 -0.05315  0.006632 0.04464
28305.87 3531.827 2.0 1.0 -0.01534  0.001915 0.05357
28305.87 3531.827 1.0 2.0 -0.08835  0.011024 0.00496
28305.87 3531.827 1.0 1.0 -0.05054  0.006307 0.02976
28305.87 3531.827 1.0 0.0 -0.03168  0.003953 0.02778
28304.57 3531.989 5.0 5.0  0.03115 -0.003887 0.26190
28304.57 3531.989 5.0 4.0  0.12709 -0.015859 0.04365
28304.57 3531.989 4.0 5.0 -0.08935  0.011150 0.04365
28304.57 3531.989 4.0 4.0  0.00659 -0.000822 0.14286
28304.57 3531.989 4.0 3.0  0.08286 -0.010339 0.06349
28304.57 3531.989 3.0 4.0 -0.08981  0.011207 0.06349
28304.57 3531.989 3.0 3.0 -0.01354  0.001690 0.06667
28304.57 3531.989 3.0 2.0  0.04337 -0.005412 0.06429
28304.57 3531.989 2.0 3.0 -0.08584  0.010712 0.06429
28304.57 3531.989 2.0 2.0 -0.02893  0.003610 0.02381
28304.57 3531.989 2.0 1.0  0.00888 -0.001108 0.05079
28304.57 3531.989 1.0 2.0 -0.07713  0.009625 0.05079
28304.57 3531.989 1.0 1.0 -0.03932  0.004907 0.00476
28304.57 3531.989 1.0 0.0 -0.02046  0.002553 0.02778
28304.57 3531.989 0.0 1.0 -0.06342  0.007914 0.02778
28303.63 3532.106 4.0 5.0  0.02453 -0.003061 0.30556
28303.63 3532.106 4.0 4.0  0.12047 -0.015034 0.06250
28303.63 3532.106 4.0 3.0  0.19673 -0.024551 0.00694
28303.63 3532.106 3.0 4.0 -0.03314  0.004135 0.18750
28303.63 3532.106 3.0 3.0  0.04313 -0.005383 0.08750
28303.63 3532.106 3.0 2.0  0.10005 -0.012486 0.01667
28303.63 3532.106 2.0 3.0 -0.07207  0.008994 0.10000
28303.63 3532.106 2.0 2.0 -0.01515  0.001891 0.08333
28303.63 3532.106 2.0 1.0  0.02266 -0.002827 0.02500
28303.63 3532.106 1.0 2.0 -0.09195  0.011475 0.03889
28303.63 3532.106 1.0 1.0 -0.05414  0.006757 0.05833
28303.63 3532.106 1.0 0.0 -0.03528  0.004403 0.02778
28178.51 3547.790 7.0 6.0  0.01796 -0.002262 0.25000
28178.51 3547.790 6.0 6.0 -0.09194  0.011576 0.02006
28178.51 3547.790 6.0 5.0  0.01569 -0.001976 0.19660
28178.51 3547.790 5.0 6.0 -0.18614  0.023436 0.00077
28178.51 3547.790 5.0 5.0 -0.07851  0.009885 0.03090
28178.51 3547.790 5.0 4.0  0.01252 -0.001577 0.15167
28178.51 3547.790 4.0 5.0 -0.15701  0.019768 0.00167
28178.51 3547.790 4.0 4.0 -0.06598  0.008307 0.03375
28178.51 3547.790 4.0 3.0  0.00772 -0.000972 0.11458
28178.51 3547.790 3.0 4.0 -0.12878  0.016214 0.00208
28178.51 3547.790 3.0 3.0 -0.05508  0.006935 0.02971
28178.51 3547.790 3.0 2.0  0.00070 -0.000088 0.08488
28178.51 3547.790 2.0 3.0 -0.10218  0.012865 0.00154
28178.51 3547.790 2.0 2.0 -0.04640  0.005842 0.01929
28178.51 3547.790 2.0 1.0 -0.00897  0.001129 0.06250
28176.69 3548.020 6.0 6.0 -0.00466  0.000587 0.24576
28176.69 3548.020 6.0 5.0  0.10297 -0.012966 0.02508
28176.69 3548.020 5.0 6.0 -0.11026  0.013885 0.02508
28176.69 3548.020 5.0 5.0 -0.00263  0.000331 0.16599
28176.69 3548.020 5.0 4.0  0.08840 -0.011131 0.03810
28176.69 3548.020 4.0 5.0 -0.09063  0.011413 0.03810
28176.69 3548.020 4.0 4.0  0.00040 -0.000050 0.10848
28176.69 3548.020 4.0 3.0  0.07409 -0.009330 0.04092
28176.69 3548.020 3.0 4.0 -0.07000  0.008815 0.04092
28176.69 3548.020 3.0 3.0  0.00369 -0.000465 0.06964
